"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5564","Клик на заказ открывает всплывающее окно с деталями","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","669","Ввод почты и клик по кнопке 'Восстановить'","tests","2026-02-18","passed","2026-02-18","TestRecoveryPassword","test_recovery_password","",""
"","5356","Всплывающее окно закрывается кликом по крестику","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","982","При добавлении ингредиента в заказ увеличивается каунтер данного ингредиента","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","8316","После оформления заказа его номер появляется в разделе 'В работе'","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","1747","При добавлении ингредиента в заказ увеличивается каунтер данного ингредиента","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","5485","Заказы пользователя из раздела 'История заказов' отображаются на странице 'Лента заказов'","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","1744","Переход в раздел 'История заказов'","tests","2026-02-18","passed","2026-02-18","TestPersonalAccount","test_personal_account","",""
"","254","Клик на ингредиент открывает всплывающее окно с деталями","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","1127","Залогиненный пользователь может оформить заказ с булкой и мясом","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","1636","Переход в личный кабинет по клику на кнопку (авторизованный пользователь)","tests","2026-02-18","passed","2026-02-18","TestPersonalAccount","test_personal_account","",""
"","6886","Клик на заказ открывает всплывающее окно с деталями","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","1185","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-02-18","passed","2026-02-18","TestRecoveryPassword","test_recovery_password","",""
"","8053","При создании нового заказа счётчик 'Выполнено за всё время' увеличивается","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","1200","Переход в раздел 'История заказов'","tests","2026-02-18","passed","2026-02-18","TestPersonalAccount","test_personal_account","",""
"","652","Ввод почты и клик по кнопке 'Восстановить'","tests","2026-02-18","passed","2026-02-18","TestRecoveryPassword","test_recovery_password","",""
"","154","Переход по клику на 'Лента заказов'","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","335","Переход по клику на 'Конструктор'","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","204","Клик на ингредиент открывает всплывающее окно с деталями","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","8026","При создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","5406","Всплывающее окно закрывается кликом по крестику","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","153","Переход по клику на 'Лента заказов'","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","2270","Выход из аккаунта","tests","2026-02-18","passed","2026-02-18","TestPersonalAccount","test_personal_account","",""
"","2383","Залогиненный пользователь может оформить заказ с булкой и мясом","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
"","6642","При создании нового заказа счётчик 'Выполнено за всё время' увеличивается","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","291","Переход на страницу восстановления по кнопке 'Восстановить пароль'","tests","2026-02-18","passed","2026-02-18","TestRecoveryPassword","test_recovery_password","",""
"","358","Переход на страницу восстановления по кнопке 'Восстановить пароль'","tests","2026-02-18","passed","2026-02-18","TestRecoveryPassword","test_recovery_password","",""
"","6585","При создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","2833","Выход из аккаунта","tests","2026-02-18","passed","2026-02-18","TestPersonalAccount","test_personal_account","",""
"","7378","После оформления заказа его номер появляется в разделе 'В работе'","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","6859","Заказы пользователя из раздела 'История заказов' отображаются на странице 'Лента заказов'","tests","2026-02-18","passed","2026-02-18","TestOrderFeed","test_order_feed","",""
"","1145","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-02-18","passed","2026-02-18","TestRecoveryPassword","test_recovery_password","",""
"","1018","Переход в личный кабинет по клику на кнопку (авторизованный пользователь)","tests","2026-02-18","passed","2026-02-18","TestPersonalAccount","test_personal_account","",""
"","256","Переход по клику на 'Конструктор'","tests","2026-02-18","passed","2026-02-18","TestConstructor","test_constructor","",""
